Workbook_Study,Clean_Workbook_Study,Author_Year_Key,Workbook_Conditions,Workbook_Sheets,Proposed_Review_Group,Priority,Extractability,Review_Queue_Status,Dedup_And_Scope_Note,Triage_Rationale,Data_Summary,Outcome_Summary,Region_Summary,Suggested_Next_Action
"Ibitoye et al., 2022","Ibitoye et al., 2022",ibitoye|2022,Idiopathic dizziness in older adults,DTI,Other vestibular clinical cohorts,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","38 older adult patients with idiopathic dizziness, 36 older adult controls, 3T MRI (DTI + WMH volume); tests of balance, gait, vestibular and somatosensory function","FA, WMH burden, structural connectivity","superior longitudinal fasciculus (right), inferior longitudinal fasciculus (bilateral), anterior thalamic radiation (bilateral), posterior thalamic radiation (right), corpus callosum (bilateral, genu, body, splenium central), frontal white matter (bilateral)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Ide et al., 2023","Ide et al., 2023",ide|2023,Healthy older adults,MRI_GM,Healthy aging,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.",31 older participants; 3T T1w MRI with hippocampal subfield volumetry; balance assessments,Manual volumetry of hippocampal subfields; posturography,"Hippocampus (CA1, CA3, dentate gyrus)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Jacob et al., 2020","Jacob et al., 2020",jacob|2020,Age-related Saccular Loss,MRI_GM,Healthy aging,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.",80 healthy adults aged 60+ y.o.,MRIcloud (3T T1w MRI) GMV; SBM,"Hippocampus (left, CA1, CA2), amygdala (left, basolateral nucleus, basomedial nucleus), entorhinal cortex (left), entorhinal-transentorhinal cortical complex (left); Thalamus (right, ventral lateral nucleus, reticular nucleus), caudate (left, ventral, ventrolateral), putamen (left, ventral, ventrolateral); Hippocampus (bilateral), entorhinal cortex (left), transentorhinal cortex (left)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Kirsch et al., 2016","Kirsch et al., 2016",kirsch|2016,Healthy adults,DTI; fMRI,Healthy non-clinical cohorts,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","20 participants; 3T DTI, 3T fMRI; region‐of‐interest seeds in brainstem (vestibular nuclei) and cortex","DTI tractography from brainstem to ""vestibular cortex"" area PIVC","Pons (bilateral, medial vestibular nucleus, lateral vestibular nucleus, vestibular nerve, medial lemniscus, medial longitudinal fascicle [mesencephalic crossing tract]; ipsilateral, medial vestibular nucleus, parvocellular reticular nucleus, medial lemniscus, subependymal layer [ipsilateral direct and indirect tracts], pontine nuclei [pontine crossing tract], dorsal paragigantocellular nucleus [mesencephalic crossing tract]; contralateral, vestibular nerve, lateral vestibular nucleus, medial lemniscus, gigantocellular nucleus, medial superior olivary nucleus, lateral superior olivary nucleus, periolivary complex [pontine crossing tract]), Midbrain (bilateral, medial longitudinal fascicle, oculomotor nucleus [mesencephalic crossing tract], mesencephalic longitudinal formation, medial lemniscus [pontine crossing tract]; ipsilateral: substantia nigra pars compacta [ipsilateral direct tract], mesencephalic longitudinal formation, periaqueductal gray lateral part, pedunculopontine nucleus pars dissipata, superior colliculus [ipsilateral indirect tract]; contralateral: superior cerebellar peduncle, brachium of inferior colliculus [pontine crossing tract], caudal linear nucleus [mesencephalic crossing tract]), Thalamus, posterolateral (bilateral: lateral posterior nucleus, ventral posterior lateral nucleus, pulvinar nucleus [anterior, lateral, medial subdivisions] [ipsilateral indirect and pontine crossing tracts]; contralateral: ventral posterior medial nucleus, ventral posterior lateral nucleus [posterior and anterior subdivisions], pulvinar nucleus [anterior, medial subdivisions], lateral posterior nucleus, reticular thalamic nucleus, zona incerta [mesencephalic crossing tract]), Thalamus, paramedian (ipsilateral: central lateral nucleus posterior part, centromedian nucleus [ipsilateral indirect tract]), Cerebral white matter (bilateral: internal capsule [all tracts], corpus callosum splenium [interhemispheric])",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Kwon & Byun, 2023","Kwon & Byun, 2023",kwon byun|2023,Healthy adults,MRI_GM,Healthy non-clinical cohorts,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","20 right‐handed participants, 3T T1w MRI; caloric test; vHIT; o/cVEMP; SOT; PTA",VBM SPM 12; GMV asymmetry in central-vestibular system,"Parieto‐insular cortex (bilateral, OP2), caudate nucleus (bilateral), thalamus (bilateral), insula (bilateral), precuneus (bilateral), Rolandic operculum (bilateral)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Nigmatullina et al., 2015","Nigmatullina et al., 2015",nigmatullina|2015,“Vestibular Experts” (professional dancers),DTI; MRI_GM,Vestibular experts,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.",29 female dancers vs. 20 female age-matched controls | 29 female dancers vs. 20 female age-matched controls; 1.5T DWI (VBM FSL); Whole-body rotations; VOR,VBM FSL (1.5T T1w MRI); Whole-body rotations; VOR | FA,"Cerebellum (bilateral, lobule VIII, lobule IX). | Superior longitudinal fasciculus (bilateral, temporoparietal junction), infeirior fronto-occipital fasciculus (bilateral), anterior thalamic radiation (bilateral) .",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
Park et al. 2021,"Park et al., 2021",park|2021,Stroke/lesion in PIVC region,DTI,Stroke or ischemic vestibular-circuit lesions,high,likely_extractable_roi_effects,ready_for_manual_review,Workbook study label normalized for year or punctuation noise.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.",36 patients with stroke with injury to the parieto‐insular vestibular cortex area; 1.5T DTI (FSL); functional ambulatory category test and motricity index score,"Tractography, FA + MD + tract volume in pathways from brainstem via thalamus to the PIVC","parieto‐insular vestibular cortex tract (bilateral), parieto‐insular vestibular cortex (bilateral), brainstem (bilateral, vestibular nuclei), thalamus (bilateral)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Popp et al., 2018","Popp et al., 2018",popp|2018,Phobic postural vertigo,MRI_GM,Other vestibular clinical cohorts,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","44 patients, 44 healthy controls.",VBM/SBM SPM12 (3T T1w MRI); task response; functional connectivity SPM12,"Thalamus (bilateral, mediodorsal nucleus), precentral gyrus; Cerebellum (bilateral), supramarginal gyrus (left), posterior middle frontal gyrus (right); Ventromedial prefrontal cortex, insular sulcus (left), lingual gyrus (left), anterior cingulate gyrus (right), cuneus (right).",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Rogge et al., 2018","Rogge et al., 2018",rogge|2018,Healthy adults (balance training),MRI_GM,Healthy non-clinical cohorts,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.",37 participants (aged 19-65 years; 19 participants in 12‐week balance training vs. 18 controls); 3T T1w MRI,Freesurfer 6.0 GMV; cortical thickness,"Superior temporal gyrus (left), circular insular sulcus (left), superior transverse occipital sulcus (left), superior frontal sulcus (left), posterior cingulate gyrus (right), precentral gyrus (bilateral), pericalcarine gyrus (right), putamen (bilateral).",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Trakolis et al., 2021","Trakolis et al., 2021",trakolis|2021,Chronic tinnitus after vestibular schwannoma resection,MRI_GM,Vestibular schwannoma resection,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.",46 post‐surgery patients (63% patients suffered from vestibulopathy preoperatively); 43 cases with 1.5T + 3 cases with 3T T1w MRI; ROI analysis; PTA and ABR for hearing function,VBM; SBM Brainsuite,"Fusiform gyrus (left), medial temporal gyrus (left), superior colliculus (right), inferior frontal gyrus (left, pars orbitalis), medial superior frontal gyrus (left) paracentral lobule (left), caudate nucleus (bilateral).",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Van Impe et al., 2012","Van Impe et al., 2012",van impe|2012,Healthy young vs healthy older adults,DTI,Healthy aging,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","31 young adults (mean age 25.3 years), 36 older adults (mean age 68.6 years), all right-handed, normal/corrected vision; 3T MRI; 3T DTI (FSL TBSS); SOT (balance test)","FA, AD, RD","frontal forceps (bilateral), genu of the corpus callosum, occipital forceps (bilateral)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Wang et al., 2019","Wang et al., 2019",wang|2019,"Vestibular migraine (VM), migraine without aura (MWoA)",MRI_GM,Vestibular migraine,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","18 VM patients vs. vs. 21 MWoA vs. 21age-, gender-, and education-matched controls; 3T T1w MRI VBM SPM8",GM volume,"medial superior frontal gyrus (right), angular gyrus (right), middle frontal gyrus (left), supplementary motor area (right)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Yeo et al., 2017","Yeo et al., 2017",yeo|2017,Stroke (MCA territory infarction confined to parieto‐insular vestibular cortex),DTI,Stroke or ischemic vestibular-circuit lesions,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","19 patients with infarcts in the parieto‐insular vestibular cortex region (8 with ataxia symptoms, 11 without), 12 age-and sex-matched controls; 1.5T DTI (FSL); functional ambulatory category test and motricity index score","tractography from braintstem to PIVC, FA + MD + tract volume","parietal-insular vestibular cortex (bilateral), thalamus (bilateral), brainstem (bilateral, vestibular nulcei), corticospinal tract (bilateral)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Yeo et al., 2018","Yeo et al., 2018",yeo|2018,Lateral medullary (Wallenberg) syndrome,DTI,Stroke or ischemic vestibular-circuit lesions,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","8 patients with infarct in lateral medulla (mean age 63.4 years), 10 age- and sex-matched controls (mean age 58.3 years); 1.5T DTI (FSL) (average of 14 days after symptom onset)","FA, MD, tract volume in vestibular pathway to the PIVC","Parietal-insular vestibular cortex (bilateral), brainstem (bilateral, vestibular nulcei)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Yeo et al., 2020","Yeo et al., 2020",yeo|2020,Healthy younger vs. older,DTI,Healthy aging,high,likely_extractable_roi_effects,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest explicit regions, quantitative imaging metrics, and a usable comparison design.","12 young, 11 older; 3T DTI + posture/balance tests (timed up and go test, one-leg standing test)",DTI FA and tractography along vestibulospinal tract,"brainstem (bilateral, medial vestibular nucleus, lateral vestibular nucleus, reticular nucleus, vestibulo spinal tract), thalamus (bilateral, ventral posterior lateral nucleus), parieto‐insular vestibular cortex (bilateral)",Review the paper first for table or supplement statistics and add to the extraction queue if ROI-level group data are present.
"Choi et al., 2015","Choi et al., 2015",choi|2015,Unilateral inferior cerebellar peduncle (ICP) lesion,DTI,Stroke or ischemic vestibular-circuit lesions,medium,maybe_extractable_with_manual_review,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest potential ROI-level findings, but the paper must be checked for convertible statistics.",8 patients with MRI‐confirmed unilateral inferior cerebellar peduncle lesion,"Lesion localization in DWI/DTI; horizontal head impulse tests, prism cross-cover test for ocular alignment, Romberg balance test, subjective visual vertical, and ocular torsion, bithermal caloric tests and pure tone audiometry",Inferior cerebellar peduncle,Open the paper to verify whether the reported findings include ROI-wise statistics rather than only narrative or connectivity summaries.
"Dordevic et al., 2021","Dordevic et al., 2021",dordevic|2021,"Chronic, mild vestibulopathy",MRI_GM,Chronic or mild vestibulopathy,medium,maybe_extractable_with_manual_review,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest potential ROI-level findings, but the paper must be checked for convertible statistics.",15 patients with chronic uni- or bilateral vestibulopathy (56.8 10.1 years; 4 females) and 15 age- and gender-matched controls ; 3T T1w MRI; neurocognitive testing (spatial tasks),VBM DARTEL GMV analysis,NA,Open the paper to verify whether the reported findings include ROI-wise statistics rather than only narrative or connectivity summaries.
"Gamba & Pavia, 2016","Gamba & Pavia, 2016",gamba pavia|2016,Vascular vertigo,MRI_WM,Stroke or ischemic vestibular-circuit lesions,medium,maybe_extractable_with_manual_review,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest potential ROI-level findings, but the paper must be checked for convertible statistics.",90 patients (aged 59-89 years) with at least 1 WM lesion; 1.5T T2-weighted MRI; patients were treated with sulodexide,WM lesion distribution; anxiety and sickness scores,"Frontal cortex, capsule (internal, external, extreme), parietal cortex, semioval center, periventricular area, radial cortex, and temporal cortex.",Open the paper to verify whether the reported findings include ROI-wise statistics rather than only narrative or connectivity summaries.
"Indovina et al., 2020","Indovina et al., 2020",indovina|2020,Healthy young adults,DTI,Healthy non-clinical cohorts,medium,maybe_extractable_with_manual_review,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest potential ROI-level findings, but the paper must be checked for convertible statistics.","974 healthy subjects (22-36 years old; 794 right-handed) from Human Connectome Project; 3T MRI, 3T DTI",Structural connectivity,"parietal operculum (bilateral, area OP1, area OP2, area OP3, area OP4), inferior parietal lobule (bilateral, area PFop, area PFcm), intraparietal sulcus (bilateral, area hIP1, area hIP2, area hIP3), posterior insular cortex (right, left), insula (left, anterior dorsal [dIg], posterior Ig1, posterior Ig2), somatosensory cortex (bilateral, area 1/2/3tonIa), frontal cortex (bilateral, area 44, area 44v, area 44op, area 45, area 45c), cingulate cortex (bilateral, area 23v, area 23d, area 23c, area 24cd; left, area 24rv), posterior cingulate cortex (bilateral), visual cortex (left, cpSTS, area 37dl; bilateral, area 4tl), temporal lobe (bilateral, temporo-insular [area TI], area 35/36r, area 28/34; right, area 35/36c), middle temporal visual area (bilateral, MT/V5), superior parietal cortex (bilateral, area 7ip, area 7P, area 7A, area 7r; right, area 5l, area 5L, area 7PC, area 7m; left, area 7c), premotor cortex (bilateral), angular gyrus (bilateral), supramarginal gyrus (bilateral), superior temporal sulcus (bilateral), superior temporal gyrus (bilateral), middle temporal gyrus (bilateral), inferior temporal gyrus (bilateral), superior frontal sulcus (bilateral), inferior frontal gyrus (bilateral), middle frontal gyrus (bilateral), medial temporal lobe (bilateral, entorhinal cortex, subiculum; right, rostral hippocampus), hippocampal formation (bilateral), subiculum (right, left), parahippocampal cortex (right, entorhinal cortex), thalamus (bilateral; right, parietal), superior longitudinal fasciculus (bilateral)",Open the paper to verify whether the reported findings include ROI-wise statistics rather than only narrative or connectivity summaries.
"Jian et al., 2024","Jian et al., 2024",jian|2024,Late‐stage MD,MRI_GM,Meniere's disease,medium,maybe_extractable_with_manual_review,ready_for_manual_review,No duplicate or scope warning detected in the workbook triage pass.,"Workbook notes suggest potential ROI-level findings, but the paper must be checked for convertible statistics.","99 right-handed patients with unilateral MD (50 early-stage, 49 late-stage), 50 controls; matched controls; T1 3 T MRI measuring hippocampal volumes",ROI volumetry of hippocampus,Hippocampus (bilateral),Open the paper to verify whether the reported findings include ROI-wise statistics rather than only narrative or connectivity summaries.
