Workbook_Condition_Label,N_Workbook_Studies,Workbook_Study_Examples,Workbook_Sheets,Proposed_Condition_Label,Proposed_Review_Group,Mapping_Status,Current_Runtime_Group_Ready,CheckedIn_Study_Match_Count,CheckedIn_Study_Matches,Notes
lateral medullary (wallenberg) syndrome,1,"yeo et al., 2018",DTI,lateral medullary (wallenberg) syndrome,Stroke or ischemic vestibular-circuit lesions,covered_by_current_taxonomy,yes,0,,The workbook contains multiple lesion and infarction cohorts that support retaining the stroke or ischemic review bin.
latestage md,1,"jian et al., 2024",MRI_GM,Meniere's disease,Meniere's disease,covered_by_current_taxonomy,yes,0,,Workbook spelling and abbreviation variants can be normalized directly to the current Meniere review bin.
longduration spaceflight (astronauts),2,"hupfeld et al., 2022; mcgregor et al., 2023",MRI_GM; fMRI,longduration spaceflight (astronauts),Spaceflight-related vestibular adaptation,covered_by_current_taxonomy,yes,0,,These workbook cohorts directly support the reserved spaceflight adaptation review bin.
md,1,"seo et al., 2016",MRI_GM,Meniere's disease,Meniere's disease,covered_by_current_taxonomy,yes,1,seo|2016|the change of hippocampal volume and its relevance with inner ear function in meniere's disease patients,Workbook spelling and abbreviation variants can be normalized directly to the current Meniere review bin.
menieres disease (md),1,"van cruijsen et al., 2007",MRI_GM,Meniere's disease,Meniere's disease,covered_by_current_taxonomy,yes,1,van cruijsen|2007|hippocampal volume measurement in patients with meniere's disease: a pilot study,Workbook spelling and abbreviation variants can be normalized directly to the current Meniere review bin.
persistent postural perceptual dizziness (pppd),1,"wurthmann et al., 2017",MRI_GM,Persistent postural perceptual dizziness,Other vestibular clinical cohorts,covered_by_current_taxonomy,yes,1,wurthmann|2017|cerebral gray matter changes in persistent postural perceptual dizziness,PPPD remains a distinct condition entity within the residual clinical review bucket.
persistent vestibular dysfunction after concussion (ppcs in athletes),1,"gard et al., 2022",DTI,persistent vestibular dysfunction after concussion (ppcs in athletes),Post-traumatic or concussive vestibulopathy,covered_by_current_taxonomy,yes,1,gard|2022|post-concussive vestibular dysfunction is related to injury to the inferior vestibular nerve,The workbook's concussion and TBI variants fit the current traumatic vestibular review bin while remaining distinct at the condition layer.
phobic postural vertigo,1,"popp et al., 2018",MRI_GM,phobic postural vertigo,Other vestibular clinical cohorts,covered_by_current_taxonomy,yes,0,,These cohorts fit the residual clinical review bucket but should remain distinct from PPPD unless the source literature is re-opened.
post-concussive vestibular dysfunction (subacute),1,"behnke et al., 2024",DTI,post-concussive vestibular dysfunction (subacute),Post-traumatic or concussive vestibulopathy,covered_by_current_taxonomy,yes,1,behnke|2024|assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using noddi,The workbook's concussion and TBI variants fit the current traumatic vestibular review bin while remaining distinct at the condition layer.
postconcussive vestibular dysfunction,1,"smith et al., 2021",DTI; fMRI,postconcussive vestibular dysfunction,Post-traumatic or concussive vestibulopathy,covered_by_current_taxonomy,yes,0,,The workbook's concussion and TBI variants fit the current traumatic vestibular review bin while remaining distinct at the condition layer.
posttraumatic vestibulopathy (concussion/mild tbi),1,"alhilali et al., 2014",DTI,posttraumatic vestibulopathy (concussion/mild tbi),Post-traumatic or concussive vestibulopathy,covered_by_current_taxonomy,yes,1,alhilali|2014|detection of central white matter injury underlying vestibulopathy after mild traumatic brain injury,The workbook's concussion and TBI variants fit the current traumatic vestibular review bin while remaining distinct at the condition layer.
review or combined study on op2 region,1,"ibitoye et al., 2023",fMRI,review or combined study on op2 region,Needs manual scope decision,out_of_scope_or_non_empirical,no,0,,This label describes a review or composite framing rather than a single empirical vestibular cohort and should not drive runtime grouping.
stroke (mca territory infarction confined to parietoinsular vestibular cortex),1,"yeo et al., 2017",DTI,stroke (mca territory infarction confined to parietoinsular vestibular cortex),Stroke or ischemic vestibular-circuit lesions,covered_by_current_taxonomy,yes,0,,The workbook contains multiple lesion and infarction cohorts that support retaining the stroke or ischemic review bin.
stroke/lesion in pivc region,1,park et al. 2021,DTI,stroke/lesion in pivc region,Stroke or ischemic vestibular-circuit lesions,covered_by_current_taxonomy,yes,0,,The workbook contains multiple lesion and infarction cohorts that support retaining the stroke or ischemic review bin.
thalamic infarction,1,"conrad et al., 2023",DTI; fMRI,thalamic infarction,Stroke or ischemic vestibular-circuit lesions,covered_by_current_taxonomy,yes,0,,The workbook contains multiple lesion and infarction cohorts that support retaining the stroke or ischemic review bin.
traumatic brain injury (tbi) with vestibular agnosia,1,calzolari et al. 2021,DTI,traumatic brain injury (tbi) with vestibular agnosia,Post-traumatic or concussive vestibulopathy,covered_by_current_taxonomy,yes,0,,The workbook's concussion and TBI variants fit the current traumatic vestibular review bin while remaining distinct at the condition layer.
unilateral inferior cerebellar peduncle (icp) lesion,1,"choi et al., 2015",DTI,unilateral inferior cerebellar peduncle (icp) lesion,Stroke or ischemic vestibular-circuit lesions,covered_by_current_taxonomy,yes,0,,The workbook contains multiple lesion and infarction cohorts that support retaining the stroke or ischemic review bin.
unilateral subcortical or infratentorial ischemic stroke,1,"conrad et al., 2022",DTI; MRI_WM; fMRI,unilateral subcortical or infratentorial ischemic stroke,Stroke or ischemic vestibular-circuit lesions,covered_by_current_taxonomy,yes,0,,The workbook contains multiple lesion and infarction cohorts that support retaining the stroke or ischemic review bin.
unilateral thalamic or brainstem infarction,1,"conrad et al., 2022",DTI; MRI_WM; fMRI,unilateral thalamic or brainstem infarction,Stroke or ischemic vestibular-circuit lesions,covered_by_current_taxonomy,yes,0,,The workbook contains multiple lesion and infarction cohorts that support retaining the stroke or ischemic review bin.
unilateral vestibular deafferentation (uvd),1,"hufner et al., 2007",MRI_GM,unilateral vestibular deafferentation (uvd),Vestibular schwannoma resection,covered_by_current_taxonomy,yes,1,hufner|2007|spatial memory and hippocampal volume in humans with unilateral vestibular deafferentation,Surgical unilateral deafferentation cohorts fit the current schwannoma-resection review framing.
unilateral vn recovery,1,"hong, kim, kim, & lee, 20141",MRI_GM,Vestibular neuritis,Unilateral vestibular loss or deafferentation,covered_by_current_taxonomy,yes,0,,Acute VN and VN recovery labels support the unilateral peripheral loss review bin and should normalize to vestibular neuritis where appropriate.
uvd,1,"hufner et al., 2009",MRI_GM,uvd,Vestibular schwannoma resection,covered_by_current_taxonomy,yes,1,hufner|2009|gray-matter atrophy after chronic complete unilateral vestibular deafferentation,Surgical unilateral deafferentation cohorts fit the current schwannoma-resection review framing.
varied duration spaceflight (astronauts),1,"mcgregor et al., 2023",DTI,varied duration spaceflight (astronauts),Spaceflight-related vestibular adaptation,covered_by_current_taxonomy,yes,0,,These workbook cohorts directly support the reserved spaceflight adaptation review bin.
vascular vertigo,1,"gamba & pavia, 2016",MRI_WM,vascular vertigo,Stroke or ischemic vestibular-circuit lesions,covered_by_current_taxonomy,yes,0,,The workbook contains multiple lesion and infarction cohorts that support retaining the stroke or ischemic review bin.
vestibular experts (professional ballet dancers),1,"hanggi et al., 2010",DTI; MRI_GM,vestibular experts (professional ballet dancers),Vestibular experts,covered_by_current_taxonomy,yes,0,,The workbook strongly supports a non-clinical expert or adaptation review bin distinct from disease entities.
vestibular experts (professional dancers),1,"nigmatullina et al., 2015",DTI; MRI_GM,vestibular experts (professional dancers),Vestibular experts,covered_by_current_taxonomy,yes,0,,The workbook strongly supports a non-clinical expert or adaptation review bin distinct from disease entities.
"vestibular experts vs. nonexperts (e.g., professional dancers, slackliners)",1,"hufner et al., 2011",MRI_GM,"vestibular experts vs. nonexperts (e.g., professional dancers, slackliners)",Vestibular experts,covered_by_current_taxonomy,yes,0,,The workbook strongly supports a non-clinical expert or adaptation review bin distinct from disease entities.
vestibular migraine (vm),1,"shen et al., 2023",DTI,Vestibular migraine,Vestibular migraine,covered_by_current_taxonomy,yes,0,,Vestibular migraine is already a reserved top-layer review group in the scientific audit.
"vestibular migraine (vm), migraine without aura (mwoa)",1,"wang et al., 2019",MRI_GM,Vestibular migraine,Vestibular migraine,covered_by_current_taxonomy,yes,0,,Vestibular migraine is already a reserved top-layer review group in the scientific audit.
vestibular neuritis (vn) recovery,1,"helmchen et al., 2009",MRI_GM,Vestibular neuritis,Unilateral vestibular loss or deafferentation,covered_by_current_taxonomy,yes,1,helmchen|2009|structural changes in the human brain following vestibular neuritis indicate central vestibular compensation,Acute VN and VN recovery labels support the unilateral peripheral loss review bin and should normalize to vestibular neuritis where appropriate.
vestibular neuritis + cerebral small vessel disease,1,"oussoren et al., 2022",DTI; MRI_WM,vestibular neuritis + cerebral small vessel disease,Needs split across vestibular and vascular axes,ambiguous_composite_label,no,0,,This label spans two different scientific axes and should not be imported as a single runtime group value.
vn following recovery from surgical removal of unilateral acoustic neuroma,1,"helmchen et al., 2010",MRI_GM,vn following recovery from surgical removal of unilateral acoustic neuroma,Vestibular schwannoma resection,covered_by_current_taxonomy,yes,0,,Surgical unilateral deafferentation cohorts fit the current schwannoma-resection review framing.
white matter disease,1,"hazzaa et al., 2022",DTI; MRI_WM,white matter disease,White matter disease or small-vessel lesions,covered_by_current_taxonomy,yes,0,,The workbook explicitly supports the reserved vascular white-matter review bin.
