Study_ID,Author,Year,Title,Journal,DOI_or_PMID,Etiology,Subtype,Congenital_or_Acquired,Side_deaf_or_lesion,Chronicity_months,Sample_Size_Patients,Sample_Size_Controls,Mean_Age_Patients,Sex_Ratio_Patients,Modality,Acquisition_Type,Scanner_FieldStrength_T,Analysis_Toolbox,Hedges_g_exact,Hedges_g_variance,CI_lower,CI_upper,P_value,Statistic_type,Statistic_value,Direction,ROI_Homogenized,Big_Area,Matter,Side,MNI_X,MNI_Y,MNI_Z,Measure,Network_Assignment,Study_Quality_Score,Extractor,Notes,Source_PDF_or_ZIP
Behnke_2024_CCL_VIn,Behnke,2024,Assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using NODDI,Imaging Neuroscience,10.1162/imag_a_00147,Post-concussive vestibular dysfunction,,Acquired,,,23,37.0,,,MRI,Diffusion,3.0,FSL TBSS,,,,,PFWE < 0.05,,,↑ Patients > Controls,Corpus callosum,Subcortical,White,L,,,,Intra-neurite volume fraction (VIn),,,,TBSS cluster showing higher VIn in PCVD than controls,"Behnke et al., 2024.pdf"
Behnke_2024_CCL_VIso,Behnke,2024,Assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using NODDI,Imaging Neuroscience,10.1162/imag_a_00147,Post-concussive vestibular dysfunction,,Acquired,,,23,37.0,,,MRI,Diffusion,3.0,FSL TBSS,,,,,PFWE < 0.05,,,↑ Patients > Controls,Corpus callosum,Subcortical,White,L,,,,Isotropic volume fraction (VIso),,,,TBSS cluster showing higher VIso in PCVD than controls,"Behnke et al., 2024.pdf"
Behnke_2024_ICL_VIn,Behnke,2024,Assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using NODDI,Imaging Neuroscience,10.1162/imag_a_00147,Post-concussive vestibular dysfunction,,Acquired,,,23,37.0,,,MRI,Diffusion,3.0,FSL TBSS,,,,,PFWE < 0.05,,,↑ Patients > Controls,Internal capsule,Subcortical,White,L,,,,Intra-neurite volume fraction (VIn),,,,TBSS cluster showing higher VIn in PCVD than controls,"Behnke et al., 2024.pdf"
Behnke_2024_ICL_VIso,Behnke,2024,Assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using NODDI,Imaging Neuroscience,10.1162/imag_a_00147,Post-concussive vestibular dysfunction,,Acquired,,,23,37.0,,,MRI,Diffusion,3.0,FSL TBSS,,,,,PFWE < 0.05,,,↑ Patients > Controls,Internal capsule,Subcortical,White,L,,,,Isotropic volume fraction (VIso),,,,TBSS cluster showing higher VIso in PCVD than controls,"Behnke et al., 2024.pdf"
Behnke_2024_ECL_VIn,Behnke,2024,Assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using NODDI,Imaging Neuroscience,10.1162/imag_a_00147,Post-concussive vestibular dysfunction,,Acquired,,,23,37.0,,,MRI,Diffusion,3.0,FSL TBSS,,,,,PFWE < 0.05,,,↑ Patients > Controls,External capsule,Subcortical,White,L,,,,Intra-neurite volume fraction (VIn),,,,TBSS cluster showing higher VIn in PCVD than controls,"Behnke et al., 2024.pdf"
Behnke_2024_ECL_VIso,Behnke,2024,Assessment of white matter microstructure integrity in subacute postconcussive vestibular dysfunction using NODDI,Imaging Neuroscience,10.1162/imag_a_00147,Post-concussive vestibular dysfunction,,Acquired,,,23,37.0,,,MRI,Diffusion,3.0,FSL TBSS,,,,,PFWE < 0.05,,,↑ Patients > Controls,External capsule,Subcortical,White,L,,,,Isotropic volume fraction (VIso),,,,TBSS cluster showing higher VIso in PCVD than controls,"Behnke et al., 2024.pdf"
Brandt_2005_HPC_L,Brandt,2005,Vestibular loss causes hippocampal atrophy and impaired spatial memory in humans,Brain,10.1093/brain/awh617,Chronic bilateral vestibular loss due to neurofibromatosis 2 after bilateral vestibular neurectomy,,Acquired,Bilateral,,10,10.0,38.0,4F/6M,MRI,Structural,1.5,FSL/SIENAX and MedX,,,,,p < 0.01,F,10.36,↓ Patients < Controls,Hippocampus,Temporal,Gray,L,,,,Hippocampal GM volume,,,,"Left hippocampal volume reduced in bilateral vestibular loss patients vs controls; main effect of BVL status from hemisphere-specific ANOVA F(1,17)=10.36, p<0.01. BVL duration 5–10 years post bilateral vestibular neurectomy.","Brandt et al., 2005.pdf"
Brandt_2005_HPC_R,Brandt,2005,Vestibular loss causes hippocampal atrophy and impaired spatial memory in humans,Brain,10.1093/brain/awh617,Chronic bilateral vestibular loss due to neurofibromatosis 2 after bilateral vestibular neurectomy,,Acquired,Bilateral,,10,10.0,38.0,4F/6M,MRI,Structural,1.5,FSL/SIENAX and MedX,,,,,p < 0.01,F,13.77,↓ Patients < Controls,Hippocampus,Temporal,Gray,R,,,,Hippocampal GM volume,,,,"Right hippocampal volume reduced in bilateral vestibular loss patients vs controls; main effect of BVL status from hemisphere-specific ANOVA F(1,17)=13.77, p<0.01.","Brandt et al., 2005.pdf"
Brandt_2005_HPC_Total,Brandt,2005,Vestibular loss causes hippocampal atrophy and impaired spatial memory in humans,Brain,10.1093/brain/awh617,Chronic bilateral vestibular loss due to neurofibromatosis 2 after bilateral vestibular neurectomy,,Acquired,Bilateral,,10,10.0,38.0,4F/6M,MRI,Structural,1.5,FSL/SIENAX and MedX,,,,,p < 0.01,F,13.08,↓ Patients < Controls,Hippocampus,Temporal,Gray,Bilateral,,,,Hippocampal GM volume,,,,"Total bilateral hippocampal volume reduced by approximately 16.9% in BVL patients vs controls; ANOVA main effect of BVL status F(1,17)=13.08, p<0.01.","Brandt et al., 2005.pdf"
Cheng_2023_ALFF_Lingual_L,Cheng,2023,Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuronitis,Acta Radiologica,10.1177/02841851231203569,Vestibular neuritis,,Acquired,,,24,22.0,45.0,16F/8M,MRI,Functional,3.0,DPABI; SPM12,,,,,<0.001,t,4.8581,↑ Patients > Controls,Lingual gyrus,Occipital,Gray,L,-12.0,-90.0,-18.0,ALFF,Visual,,,Whole-brain ALFF cluster showing increased activity,Cheng et al. (2023).pdf
Cheng_2023_ReHo_Lingual_L,Cheng,2023,Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuronitis,Acta Radiologica,10.1177/02841851231203569,Vestibular neuritis,,Acquired,,,24,22.0,45.0,16F/8M,MRI,Functional,3.0,DPABI; SPM12,,,,,<0.001,t,5.005,↑ Patients > Controls,Lingual gyrus,Occipital,Gray,L,-12.0,-51.0,-6.0,ReHo,Visual,,,Whole-brain ReHo cluster showing increased synchrony,Cheng et al. (2023).pdf
Cheng_2023_ReHo_Lingual_R,Cheng,2023,Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuronitis,Acta Radiologica,10.1177/02841851231203569,Vestibular neuritis,,Acquired,,,24,22.0,45.0,16F/8M,MRI,Functional,3.0,DPABI; SPM12,,,,,<0.001,t,5.005,↑ Patients > Controls,Lingual gyrus,Occipital,Gray,R,15.0,-57.0,-9.0,ReHo,Visual,,,Whole-brain ReHo cluster showing increased synchrony,Cheng et al. (2023).pdf
Cheng_2023_ReHo_Postcentral_R,Cheng,2023,Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuronitis,Acta Radiologica,10.1177/02841851231203569,Vestibular neuritis,,Acquired,,,24,22.0,45.0,16F/8M,MRI,Functional,3.0,DPABI; SPM12,,,,,0.002,t,4.411,↑ Patients > Controls,Postcentral gyrus,Parietal,Gray,R,-12.0,-51.0,-6.0,ReHo,Sensorimotor,,,ReHo cluster in postcentral region,Cheng et al. (2023).pdf
Cheng_2023_DC_Lingual_L,Cheng,2023,Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuronitis,Acta Radiologica,10.1177/02841851231203569,Vestibular neuritis,,Acquired,,,24,22.0,45.0,16F/8M,MRI,Functional,3.0,DPABI; SPM12,,,,,0.013,t,4.3723,↑ Patients > Controls,Lingual gyrus,Occipital,Gray,L,-3.0,-78.0,-9.0,Degree centrality,Visual,,,Voxel-wise DC increase,Cheng et al. (2023).pdf
Cheng_2023_FC_LingualL_SuperiorFrontalL,Cheng,2023,Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuronitis,Acta Radiologica,10.1177/02841851231203569,Vestibular neuritis,,Acquired,,,24,22.0,45.0,16F/8M,MRI,Functional,3.0,DPABI; SPM12,,,,,0.012,t,6.2402,↑ Patients > Controls,Superior frontal gyrus,Frontal,Gray,L,-18.0,24.0,66.0,Functional connectivity,Executive,,,Increased FC with left lingual seed,Cheng et al. (2023).pdf
Cheng_2023_FC_LingualL_Insula_R,Cheng,2023,Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuronitis,Acta Radiologica,10.1177/02841851231203569,Vestibular neuritis,,Acquired,,,24,22.0,45.0,16F/8M,MRI,Functional,3.0,DPABI; SPM12,,,,,0.004,t,-4.8916,↓ Patients < Controls,Insula,Subcortical,Gray,R,39.0,15.0,6.0,Functional connectivity,Vestibular,,,Decreased FC with left lingual seed,Cheng et al. (2023).pdf
Cheng_2023_FC_LingualL_Supramarginal_R,Cheng,2023,Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuronitis,Acta Radiologica,10.1177/02841851231203569,Vestibular neuritis,,Acquired,,,24,22.0,45.0,16F/8M,MRI,Functional,3.0,DPABI; SPM12,,,,,<0.001,t,-6.1617,↓ Patients < Controls,Supramarginal gyrus,Parietal,Gray,R,66.0,-45.0,27.0,Functional connectivity,Vestibular,,,Decreased FC with left lingual seed,Cheng et al. (2023).pdf
Cheng_2023_FC_LingualL_Supramarginal_L,Cheng,2023,Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuronitis,Acta Radiologica,10.1177/02841851231203569,Vestibular neuritis,,Acquired,,,24,22.0,45.0,16F/8M,MRI,Functional,3.0,DPABI; SPM12,,,,,0.014,t,-4.2696,↓ Patients < Controls,Supramarginal gyrus,Parietal,Gray,L,-63.0,-39.0,39.0,Functional connectivity,Vestibular,,,Decreased FC with left lingual seed,Cheng et al. (2023).pdf
Cheng_2023_GMV_Caudate_R,Cheng,2023,Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuritis,Acta Radiologica,10.1177/02841851231203569,Vestibular neuritis,,Acquired,,,24,22.0,45.0,16F/8M,MRI,Structural,3.0,VBM8; SPM8,,,,,0.022,t,-5.1603,↓ Patients < Controls,Caudate nucleus,Subcortical,Gray,R,16.5,21.0,4.5,GMV,,,,VBM cluster showing reduced GMV,Cheng et al. (2023).pdf
Cheng_2023_GMV_Caudate_L,Cheng,2023,Assessment of functional and structural brain abnormalities with resting-state functional MRI in patients with vestibular neuritis,Acta Radiologica,10.1177/02841851231203569,Vestibular neuritis,,Acquired,,,24,22.0,45.0,16F/8M,MRI,Structural,3.0,VBM8; SPM8,,,,,0.014,t,-5.4321,↓ Patients < Controls,Caudate nucleus,Subcortical,Gray,L,-15.0,19.5,3.0,GMV,,,,VBM cluster showing reduced GMV,Cheng et al. (2023).pdf
Cutfield_2014_VisPro_HighLow_RIntracalcarine,Cutfield,2014,Visual and proprioceptive interaction in patients with bilateral vestibular loss,NeuroImage: Clinical,10.1016/j.nicl.2013.12.013,Bilateral vestibular loss,Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,Acquired,Bilateral,,12,14.0,51.0,6F/6M,fMRI,Functional,3.0,FSL (FEAT/FSL-VBM),,,,,p < 0.05 (cluster-corrected),z,3.46,↓ Patients < Controls,Intracalcarine cortex,Occipital,Gray,R,20.0,-76.0,12.0,Task-evoked BOLD,Visual,,,Group difference in main effect of high vs low neck proprioceptive input ((MH+SH) > (ML+SL)); controls show greater occipital activation than bilateral vestibular loss patients.,"Cutfield et al., 2014.pdf"
Cutfield_2014_VisPro_HighLow_ROccipitalPole1,Cutfield,2014,Visual and proprioceptive interaction in patients with bilateral vestibular loss,NeuroImage: Clinical,10.1016/j.nicl.2013.12.013,Bilateral vestibular loss,Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,Acquired,Bilateral,,12,14.0,51.0,6F/6M,fMRI,Functional,3.0,FSL (FEAT/FSL-VBM),,,,,p < 0.05 (cluster-corrected),z,3.32,↓ Patients < Controls,Occipital pole,Occipital,Gray,R,22.0,-100.0,8.0,Task-evoked BOLD,Visual,,,Group difference in main effect of high vs low neck proprioceptive input ((MH+SH) > (ML+SL)); controls show greater occipital activation than bilateral vestibular loss patients.,"Cutfield et al., 2014.pdf"
Cutfield_2014_VisPro_HighLow_ROccipitalPole2,Cutfield,2014,Visual and proprioceptive interaction in patients with bilateral vestibular loss,NeuroImage: Clinical,10.1016/j.nicl.2013.12.013,Bilateral vestibular loss,Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,Acquired,Bilateral,,12,14.0,51.0,6F/6M,fMRI,Functional,3.0,FSL (FEAT/FSL-VBM),,,,,p < 0.05 (cluster-corrected),z,3.27,↓ Patients < Controls,Occipital pole,Occipital,Gray,R,32.0,-98.0,6.0,Task-evoked BOLD,Visual,,,Group difference in main effect of high vs low neck proprioceptive input ((MH+SH) > (ML+SL)); controls show greater occipital activation than bilateral vestibular loss patients.,"Cutfield et al., 2014.pdf"
Cutfield_2014_VisPro_HighLow_MidOccipitalPole,Cutfield,2014,Visual and proprioceptive interaction in patients with bilateral vestibular loss,NeuroImage: Clinical,10.1016/j.nicl.2013.12.013,Bilateral vestibular loss,Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,Acquired,Bilateral,,12,14.0,51.0,6F/6M,fMRI,Functional,3.0,FSL (FEAT/FSL-VBM),,,,,p < 0.05 (cluster-corrected),z,3.12,↓ Patients < Controls,Occipital pole,Occipital,Gray,Bilateral,0.0,-90.0,-2.0,Task-evoked BOLD,Visual,,,Group difference in main effect of high vs low neck proprioceptive input ((MH+SH) > (ML+SL)); controls show greater midline occipital activation than bilateral vestibular loss patients.,"Cutfield et al., 2014.pdf"
Cutfield_2014_VisPro_HighLow_CerebVermisIX,Cutfield,2014,Visual and proprioceptive interaction in patients with bilateral vestibular loss,NeuroImage: Clinical,10.1016/j.nicl.2013.12.013,Bilateral vestibular loss,Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,Acquired,Bilateral,,12,14.0,51.0,6F/6M,fMRI,Functional,3.0,FSL (FEAT/FSL-VBM),,,,,p < 0.05 (cluster-corrected),z,3.28,↓ Patients < Controls,Cerebellar vermis IX,Cerebellum,Gray,Bilateral,0.0,-52.0,-36.0,Task-evoked BOLD,Cerebellar,,,Group difference in main effect of high vs low neck proprioceptive input ((MH+SH) > (ML+SL)); controls show greater cerebellar vermis activation than bilateral vestibular loss patients.,"Cutfield et al., 2014.pdf"
Cutfield_2014_VisPro_HighLow_CerebVermisX,Cutfield,2014,Visual and proprioceptive interaction in patients with bilateral vestibular loss,NeuroImage: Clinical,10.1016/j.nicl.2013.12.013,Bilateral vestibular loss,Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,Acquired,Bilateral,,12,14.0,51.0,6F/6M,fMRI,Functional,3.0,FSL (FEAT/FSL-VBM),,,,,p < 0.05 (cluster-corrected),z,3.0,↓ Patients < Controls,Cerebellar vermis X,Cerebellum,Gray,Bilateral,-2.0,-44.0,-32.0,Task-evoked BOLD,Cerebellar,,,Group difference in main effect of high vs low neck proprioceptive input ((MH+SH) > (ML+SL)); controls show greater cerebellar vermis activation than bilateral vestibular loss patients.,"Cutfield et al., 2014.pdf"
Cutfield_2014_VisPro_MLgtMH_LLatOcc1,Cutfield,2014,Visual and proprioceptive interaction in patients with bilateral vestibular loss,NeuroImage: Clinical,10.1016/j.nicl.2013.12.013,Bilateral vestibular loss,Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,Acquired,Bilateral,,12,14.0,51.0,6F/6M,fMRI,Functional,3.0,FSL (FEAT/FSL-VBM),,,,,p < 0.05 (cluster-corrected),z,4.31,↑ Patients > Controls,Lateral occipital cortex,Occipital,Gray,L,-18.0,-84.0,20.0,Task-evoked BOLD,Visual,,,Group difference for contrast visual motion with low vs high proprioceptive input (ML > MH); bilateral vestibular loss patients show greater activation than controls.,"Cutfield et al., 2014.pdf"
Cutfield_2014_VisPro_MLgtMH_LLatOcc2,Cutfield,2014,Visual and proprioceptive interaction in patients with bilateral vestibular loss,NeuroImage: Clinical,10.1016/j.nicl.2013.12.013,Bilateral vestibular loss,Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,Acquired,Bilateral,,12,14.0,51.0,6F/6M,fMRI,Functional,3.0,FSL (FEAT/FSL-VBM),,,,,p < 0.05 (cluster-corrected),z,4.02,↑ Patients > Controls,Lateral occipital cortex,Occipital,Gray,L,-40.0,-82.0,18.0,Task-evoked BOLD,Visual,,,Group difference for contrast visual motion with low vs high proprioceptive input (ML > MH); bilateral vestibular loss patients show greater activation than controls.,"Cutfield et al., 2014.pdf"
Cutfield_2014_VisPro_MLgtMH_LLatOcc3,Cutfield,2014,Visual and proprioceptive interaction in patients with bilateral vestibular loss,NeuroImage: Clinical,10.1016/j.nicl.2013.12.013,Bilateral vestibular loss,Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,Acquired,Bilateral,,12,14.0,51.0,6F/6M,fMRI,Functional,3.0,FSL (FEAT/FSL-VBM),,,,,p < 0.05 (cluster-corrected),z,4.02,↑ Patients > Controls,Lateral occipital cortex,Occipital,Gray,L,-22.0,-90.0,10.0,Task-evoked BOLD,Visual,,,Group difference for contrast visual motion with low vs high proprioceptive input (ML > MH); bilateral vestibular loss patients show greater activation than controls.,"Cutfield et al., 2014.pdf"
Cutfield_2014_VisPro_MLgtMH_LIntracalcarine,Cutfield,2014,Visual and proprioceptive interaction in patients with bilateral vestibular loss,NeuroImage: Clinical,10.1016/j.nicl.2013.12.013,Bilateral vestibular loss,Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,Acquired,Bilateral,,12,14.0,51.0,6F/6M,fMRI,Functional,3.0,FSL (FEAT/FSL-VBM),,,,,p < 0.05 (cluster-corrected),z,4.08,↑ Patients > Controls,Intracalcarine cortex,Occipital,Gray,L,-18.0,-64.0,8.0,Task-evoked BOLD,Visual,,,Group difference for contrast visual motion with low vs high proprioceptive input (ML > MH); bilateral vestibular loss patients show greater activation than controls.,"Cutfield et al., 2014.pdf"
Cutfield_2014_VisPro_MLgtMH_ROccipitalPole,Cutfield,2014,Visual and proprioceptive interaction in patients with bilateral vestibular loss,NeuroImage: Clinical,10.1016/j.nicl.2013.12.013,Bilateral vestibular loss,Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,Acquired,Bilateral,,12,14.0,51.0,6F/6M,fMRI,Functional,3.0,FSL (FEAT/FSL-VBM),,,,,p < 0.05 (cluster-corrected),z,4.1,↑ Patients > Controls,Occipital pole,Occipital,Gray,R,20.0,-98.0,10.0,Task-evoked BOLD,Visual,,,Group difference for contrast visual motion with low vs high proprioceptive input (ML > MH); bilateral vestibular loss patients show greater activation than controls.,"Cutfield et al., 2014.pdf"
Cutfield_2014_VisPro_MLgtMH_CerebVermisIX,Cutfield,2014,Visual and proprioceptive interaction in patients with bilateral vestibular loss,NeuroImage: Clinical,10.1016/j.nicl.2013.12.013,Bilateral vestibular loss,Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,Acquired,Bilateral,,12,14.0,51.0,6F/6M,fMRI,Functional,3.0,FSL (FEAT/FSL-VBM),,,,,p < 0.05 (cluster-corrected),z,3.9,↑ Patients > Controls,Cerebellar vermis IX,Cerebellum,Gray,Bilateral,0.0,-54.0,-32.0,Task-evoked BOLD,Cerebellar,,,Group difference for contrast visual motion with low vs high proprioceptive input (ML > MH); bilateral vestibular loss patients show greater activation than controls.,"Cutfield et al., 2014.pdf"
Cutfield_2014_VisPro_MLgtMH_LCerebCrusI,Cutfield,2014,Visual and proprioceptive interaction in patients with bilateral vestibular loss,NeuroImage: Clinical,10.1016/j.nicl.2013.12.013,Bilateral vestibular loss,Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,Acquired,Bilateral,,12,14.0,51.0,6F/6M,fMRI,Functional,3.0,FSL (FEAT/FSL-VBM),,,,,p < 0.05 (cluster-corrected),z,3.96,↑ Patients > Controls,Cerebellar crus I,Cerebellum,Gray,L,-48.0,-54.0,-32.0,Task-evoked BOLD,Cerebellar,,,Group difference for contrast visual motion with low vs high proprioceptive input (ML > MH); bilateral vestibular loss patients show greater activation than controls.,"Cutfield et al., 2014.pdf"
Cutfield_2014_VisPro_MLgtMH_LCerebVI,Cutfield,2014,Visual and proprioceptive interaction in patients with bilateral vestibular loss,NeuroImage: Clinical,10.1016/j.nicl.2013.12.013,Bilateral vestibular loss,Aminoglycoside ototoxicity or idiopathic bilateral vestibular failure,Acquired,Bilateral,,12,14.0,51.0,6F/6M,fMRI,Functional,3.0,FSL (FEAT/FSL-VBM),,,,,p < 0.05 (cluster-corrected),z,3.72,↑ Patients > Controls,Cerebellar lobule VI,Cerebellum,Gray,L,-26.0,-64.0,-30.0,Task-evoked BOLD,Cerebellar,,,Group difference for contrast visual motion with low vs high proprioceptive input (ML > MH); bilateral vestibular loss patients show greater activation than controls.,"Cutfield et al., 2014.pdf"
Gard_2022_MK_SCP,Gard,2022,Post-Concussive Vestibular Dysfunction Is Related to Injury to the Inferior Vestibular Nerve,Journal of Neurotrauma,10.1089/neu.2021.0447,Sports-related concussion with persistent post-concussive symptoms,,Acquired,,,18,20.0,26.0,14M/7F,MRI,Diffusion,7.0,"FSL, TractSeg, dipy",,,,,0.01,,,↓ Patients < Controls,Superior cerebellar peduncle,Cerebellum,White,Bilateral,,,,Mean kurtosis (MK),,,,"Significant MK reduction in SRC athletes vs controls (p=0.010, Bonferroni-corrected significance threshold 0.017). Data from DKI Table.","Gard et al., 2022.pdf"
